Source Name	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Comment[EGA_SAMPLE]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[sex]	Characteristics[metastasis site]	Comment[COSMIC_ID]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Comment[EGA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Comment[EGA_RUN]	Comment[SUBMITTED_FILE_NAME]	Comment[ANALYSIS_FILE_NAME]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
COLO-320-HSR	COLO_320_HSR-sc-2152835	ERS570561	EGAN00001236656	Homo sapiens	NCBI Taxonomy	9606	COLO-320-HSR	large intestine	colorectal adenocarcinoma	not available	  	910569	P-MTAB-68143	12164699_ERX702627	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX702627	sequencing assay	ERX702627	EGAX00001269827	ERR757997	ERR757997	EGAR00001295970	14628_5.cram	HUMAN_37_RNA_seq_COLO-320-HSR_14628_5.ua.bam	COLO-320-HSR	large intestine	colorectal adenocarcinoma
COLO-741	  	  	EGAN00001266283	Homo sapiens	NCBI Taxonomy	9606	COLO-741	large intestine	colorectal carcinoma	female	pelvis	906815	P-MTAB-68143	Extract_COLO-741	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_COLO-741	sequencing assay	  	  	ERR983926	ERR983926	EGAR00001343435	16192_5.cram	HUMAN_37_RNA_seq_COLO-741_16192_5.ua.bam	COLO-741	large intestine	colorectal carcinoma
COLO-824	COLO_824-sc-2188494	ERS622635	EGAN00001252810	Homo sapiens	NCBI Taxonomy	9606	COLO-824	breast	breast carcinoma	female	unspecified	906812	P-MTAB-68143	12790150_ERX945386	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX945386	sequencing assay	ERX945386	EGAX00001293400	ERR865758	ERR865758	EGAR00001322105	15295_8.cram	HUMAN_37_RNA_seq_COLO-824_15295_8.ua.bam	COLO-824	breast	breast carcinoma
COR-L303	COR_L303-sc-2152836	ERS570562	EGAN00001236657	Homo sapiens	NCBI Taxonomy	9606	COR-L303	lung	small cell lung carcinoma	not available	  	1297438	P-MTAB-68143	12164700_ERX702628	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX702628	sequencing assay	ERX702628	EGAX00001269828	ERR757998	ERR757998	EGAR00001295971	14628_6.cram	HUMAN_37_RNA_seq_COR-L303_14628_6.ua.bam	COR-L303	lung	small cell lung carcinoma
COR-L32	COR_L32-sc-2152837	ERS570563	EGAN00001236658	Homo sapiens	NCBI Taxonomy	9606	COR-L32	lung	small cell lung carcinoma	not available	  	1322212	P-MTAB-68143	12164701_ERX702629	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX702629	sequencing assay	ERX702629	EGAX00001269829	ERR757999	ERR757999	EGAR00001295972	14628_7.cram	HUMAN_37_RNA_seq_COR-L32_14628_7.ua.bam	COR-L32	lung	small cell lung carcinoma
COR-L321	COR_L321-sc-2152838	ERS570565	EGAN00001236659	Homo sapiens	NCBI Taxonomy	9606	COR-L321	lung	lung carcinoma	female	  	1322213	P-MTAB-68143	12164702_ERX702630	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX702630	sequencing assay	ERX702630	EGAX00001269830	ERR758000	ERR758000	EGAR00001295973	14628_8.cram	HUMAN_37_RNA_seq_COR-L321_14628_8.ua.bam	COR-L321	lung	lung carcinoma
CP50-MEL-B	CP50_MEL_B-sc-2188495	ERS622636	EGAN00001252811	Homo sapiens	NCBI Taxonomy	9606	CP50-MEL-B	skin	melanoma	male	  	753545	P-MTAB-68143	12974760_ERX991850	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX991850	sequencing assay	ERX991850	EGAX00001302709	ERR912726	ERR912726	EGAR00001331619	15722_1.cram	HUMAN_37_RNA_seq_CP50-MEL-B_15722_1.ua.bam	CP50-MEL-B	skin	melanoma
CP66-MEL	CP66_MEL-sc-2188496	ERS622637	EGAN00001252812	Homo sapiens	NCBI Taxonomy	9606	CP66-MEL	skin	melanoma	male	  	753546	P-MTAB-68143	12974770_ERX965864	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX965864	sequencing assay	ERX965864	EGAX00001296838	ERR886461	ERR886461	EGAR00001325552	15485_2.cram	HUMAN_37_RNA_seq_CP66-MEL_15485_2.ua.bam	CP66-MEL	skin	melanoma
CP67-MEL	CP67_MEL-sc-2188497	ERS622638	EGAN00001252813	Homo sapiens	NCBI Taxonomy	9606	CP67-MEL	skin	melanoma	male	  	949092	P-MTAB-68143	12974773_ERX991851	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX991851	sequencing assay	ERX991851	EGAX00001302710	ERR912727	ERR912727	EGAR00001331620	15722_2.cram	HUMAN_37_RNA_seq_CP67-MEL_15722_2.ua.bam	CP67-MEL	skin	melanoma
CPC-N	CPC_N-sc-2152839	ERS570566	EGAN00001236660	Homo sapiens	NCBI Taxonomy	9606	CPC-N	lung	small cell lung carcinoma	not available	  	753547	P-MTAB-68143	12164703_ERX704910	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX704910	sequencing assay	ERX704910	EGAX00001270876	ERR760280	ERR760280	EGAR00001297019	14688_1.cram	HUMAN_37_RNA_seq_CPC-N_14688_1.ua.bam	CPC-N	lung	small cell lung carcinoma
CRO-AP2	  	  	EGAN00001266081	Homo sapiens	NCBI Taxonomy	9606	CRO-AP2	hematopoietic system	diffuse large B-cell lymphoma	male	  	906807	P-MTAB-68143	Extract_CRO-AP2	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CRO-AP2	sequencing assay	  	  	ERR956038	ERR956038	EGAR00001339081	15876_8.cram	HUMAN_37_RNA_seq_CRO-AP2_15876_8.ua.bam	CRO-AP2	hematopoietic system	diffuse large B-cell lymphoma
CRO-AP3	  	  	EGAN00001266082	Homo sapiens	NCBI Taxonomy	9606	CRO-AP3	hematopoietic system	diffuse large B cell lymphoma	male	  	1297440	P-MTAB-68143	Extract_CRO-AP3	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CRO-AP3	sequencing assay	  	  	ERR956039	ERR956039	EGAR00001339082	15894_1.cram	HUMAN_37_RNA_seq_CRO-AP3_15894_1.ua.bam	CRO-AP3	hematopoietic system	diffuse large B cell lymphoma
CS1	CS1-sc-2188498	ERS622639	EGAN00001252814	Homo sapiens	NCBI Taxonomy	9606	CS1	bone	bone neoplasm	not available	  	1290795	P-MTAB-68143	12974774_ERX991852	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX991852	sequencing assay	ERX991852	EGAX00001302711	ERR912728	ERR912728	EGAR00001331621	15722_3.cram	HUMAN_37_RNA_seq_CS1_15722_3.ua.bam	CS1	bone	bone neoplasm
CTB-1	  	  	EGAN00001266083	Homo sapiens	NCBI Taxonomy	9606	CTB-1	hematopoietic system	diffuse large B cell lymphoma	male	  	949088	P-MTAB-68143	Extract_CTB-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CTB-1	sequencing assay	  	  	ERR964215	ERR964215	EGAR00001340363	15894_2.cram	HUMAN_37_RNA_seq_CTB-1_15894_2.ua.bam	CTB-1	hematopoietic system	diffuse large B cell lymphoma
CTV-1	  	  	EGAN00001266084	Homo sapiens	NCBI Taxonomy	9606	CTV-1	hematopoietic system	acute myelomonocytic leukemia	male	  	753548	P-MTAB-68143	Extract_CTV-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CTV-1	sequencing assay	  	  	ERR964216	ERR964216	EGAR00001340364	15894_3.cram	HUMAN_37_RNA_seq_CTV-1_15894_3.ua.bam	CTV-1	hematopoietic system	acute myelomonocytic leukemia
D-247MG	  	  	EGAN00001266085	Homo sapiens	NCBI Taxonomy	9606	D-247MG	brain	glioblastoma multiforme	not available	  	946367	P-MTAB-68143	Extract_D-247MG	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_D-247MG	sequencing assay	  	  	ERR964217	ERR964217	EGAR00001340365	15894_4.cram	HUMAN_37_RNA_seq_D-247MG_15894_4.ua.bam	D-247MG	brain	glioblastoma multiforme
D-263MG	  	  	EGAN00001266086	Homo sapiens	NCBI Taxonomy	9606	D-263MG	brain	glioblastoma multiforme	not available	  	946368	P-MTAB-68143	Extract_D-263MG	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_D-263MG	sequencing assay	  	  	ERR964218	ERR964218	EGAR00001340366	15894_5.cram	HUMAN_37_RNA_seq_D-263MG_15894_5.ua.bam	D-263MG	brain	glioblastoma multiforme
D-336MG	  	  	EGAN00001266087	Homo sapiens	NCBI Taxonomy	9606	D-336MG	brain	brain glioma	not available	  	946369	P-MTAB-68143	Extract_D-336MG	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_D-336MG	sequencing assay	  	  	ERR964219	ERR964219	EGAR00001340367	15894_6.cram	HUMAN_37_RNA_seq_D-336MG_15894_6.ua.bam	D-336MG	brain	brain glioma
D-392MG	  	  	EGAN00001266088	Homo sapiens	NCBI Taxonomy	9606	D-392MG	brain	glioblastoma multiforme	not available	  	946370	P-MTAB-68143	Extract_D-392MG	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_D-392MG	sequencing assay	  	  	ERR964220	ERR964220	EGAR00001340368	15894_7.cram	HUMAN_37_RNA_seq_D-392MG_15894_7.ua.bam	D-392MG	brain	glioblastoma multiforme
D-423MG	  	  	EGAN00001266089	Homo sapiens	NCBI Taxonomy	9606	D-423MG	brain	glioblastoma multiforme	not available	  	946372	P-MTAB-68143	Extract_D-423MG	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_D-423MG	sequencing assay	  	  	ERR964221	ERR964221	EGAR00001340369	15894_8.cram	HUMAN_37_RNA_seq_D-423MG_15894_8.ua.bam	D-423MG	brain	glioblastoma multiforme
D-502MG	  	  	EGAN00001266090	Homo sapiens	NCBI Taxonomy	9606	D-502MG	brain	brain glioma	not available	  	946373	P-MTAB-68143	Extract_D-502MG	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_D-502MG	sequencing assay	  	  	ERR956040	ERR956040	EGAR00001339083	15895_1.cram	HUMAN_37_RNA_seq_D-502MG_15895_1.ua.bam	D-502MG	brain	brain glioma
D-542MG	  	  	EGAN00001266091	Homo sapiens	NCBI Taxonomy	9606	D-542MG	brain	glioblastoma multiforme	not available	  	753549	P-MTAB-68143	Extract_D-542MG	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_D-542MG	sequencing assay	  	  	ERR964222	ERR964222	EGAR00001340370	15895_2.cram	HUMAN_37_RNA_seq_D-542MG_15895_2.ua.bam	D-542MG	brain	glioblastoma multiforme
D-566MG	  	  	EGAN00001266092	Homo sapiens	NCBI Taxonomy	9606	D-566MG	brain	glioblastoma multiforme	not available	  	946377	P-MTAB-68143	Extract_D-566MG	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_D-566MG	sequencing assay	  	  	ERR964223	ERR964223	EGAR00001340371	15895_3.cram	HUMAN_37_RNA_seq_D-566MG_15895_3.ua.bam	D-566MG	brain	glioblastoma multiforme
DG-75	  	  	EGAN00001266093	Homo sapiens	NCBI Taxonomy	9606	DG-75	hematopoietic system	Burkitts lymphoma	male	  	906838	P-MTAB-68143	Extract_DG-75	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_DG-75	sequencing assay	  	  	ERR964224	ERR964224	EGAR00001340372	15895_4.cram	HUMAN_37_RNA_seq_DG-75_15895_4.ua.bam	DG-75	hematopoietic system	Burkitts lymphoma
DIFI	DIFI-sc-1971642	ERS462753	EGAN00001202151	Homo sapiens	NCBI Taxonomy	9606	DIFI	large intestine	colorectal adenocarcinoma	not available	  	1789883	P-MTAB-68143	10923748_ERX636397	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX636397	sequencing assay	ERX636397	EGAX00001240309	ERR691417	ERR691417	EGAR00001265527	13667_5.cram	HUMAN_37_RNA_seq_DIFI_13667_5.ua.bam	DIFI	large intestine	colorectal adenocarcinoma
DJM-1	DJM_1-sc-2188499	ERS622640	EGAN00001252815	Homo sapiens	NCBI Taxonomy	9606	DJM-1	skin	squamous cell carcinoma	not available	  	906841	P-MTAB-68143	12974775_ERX991853	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX991853	sequencing assay	ERX991853	EGAX00001302712	ERR912729	ERR912729	EGAR00001331622	15722_4.cram	HUMAN_37_RNA_seq_DJM-1_15722_4.ua.bam	DJM-1	skin	squamous cell carcinoma
DND-41	  	  	EGAN00001280532	Homo sapiens	NCBI Taxonomy	9606	DND-41	hematopoietic system	acute lymphoblastic leukemia	male	  	1297446	P-MTAB-68143	Extract_DND-41	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_DND-41	sequencing assay	  	  	ERR1056389	ERR1056389	EGAR00001363348	16756_3#50.cram	HUMAN_37_RNA_seq_DND-41_16756_3_plx50.ua.bam	DND-41	hematopoietic system	acute lymphoblastic leukemia
DOK	  	  	EGAN00001266094	Homo sapiens	NCBI Taxonomy	9606	DOK	mucosa	head and neck squamous cell carcinoma	male	  	910936	P-MTAB-68143	Extract_DOK	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_DOK	sequencing assay	  	  	ERR964225	ERR964225	EGAR00001340373	15895_5.cram	HUMAN_37_RNA_seq_DOK_15895_5.ua.bam	DOK	mucosa	head and neck squamous cell carcinoma
DoTc2-4510	  	  	EGAN00001266095	Homo sapiens	NCBI Taxonomy	9606	DoTc2-4510	uterine cervix	cervical squamous cell carcinoma	female	  	906843	P-MTAB-68143	Extract_DoTc2-4510	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_DoTc2-4510	sequencing assay	  	  	ERR964226	ERR964226	EGAR00001340374	15895_6.cram	HUMAN_37_RNA_seq_DoTc2-4510_15895_6.ua.bam	DoTc2-4510	uterine cervix	cervical squamous cell carcinoma
DOV13	  	  	EGAN00001266096	Homo sapiens	NCBI Taxonomy	9606	DOV13	ovary	ovarian adenocarcinoma	female	  	1479987	P-MTAB-68143	Extract_DOV13	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_DOV13	sequencing assay	  	  	ERR964227	ERR964227	EGAR00001340375	15895_7.cram	HUMAN_37_RNA_seq_DOV13_15895_7.ua.bam	DOV13	ovary	ovarian adenocarcinoma
DSH1	  	  	EGAN00001266097	Homo sapiens	NCBI Taxonomy	9606	DSH1	urinary bladder	bladder carcinoma	male	  	753552	P-MTAB-68143	Extract_DSH1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_DSH1	sequencing assay	  	  	ERR964228	ERR964228	EGAR00001340376	15895_8.cram	HUMAN_37_RNA_seq_DSH1_15895_8.ua.bam	DSH1	urinary bladder	bladder carcinoma
DU-145	  	  	EGAN00001280533	Homo sapiens	NCBI Taxonomy	9606	DU-145	prostate gland	prostate adenocarcinoma	male	  	905935	P-MTAB-68143	Extract_DU-145	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_DU-145	sequencing assay	  	  	ERR1056390	ERR1056390	EGAR00001363349	16756_4#51.cram	HUMAN_37_RNA_seq_DU-145_16756_4_plx51.ua.bam	DU-145	prostate gland	prostate adenocarcinoma
EB-3	  	  	EGAN00001266099	Homo sapiens	NCBI Taxonomy	9606	EB-3	hematopoietic system	Burkitts lymphoma	male	  	906847	P-MTAB-68143	Extract_EB-3	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_EB-3	sequencing assay	  	  	ERR964230	ERR964230	EGAR00001340378	15908_2.cram	HUMAN_37_RNA_seq_EB-3_15908_2.ua.bam	EB-3	hematopoietic system	Burkitts lymphoma
EB2	  	  	EGAN00001266098	Homo sapiens	NCBI Taxonomy	9606	EB2	hematopoietic system	Burkitts lymphoma	female	  	906846	P-MTAB-68143	Extract_EB2	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_EB2	sequencing assay	  	  	ERR964229	ERR964229	EGAR00001340377	15908_1.cram	HUMAN_37_RNA_seq_EB2_15908_1.ua.bam	EB2	hematopoietic system	Burkitts lymphoma
EGI-1	  	  	EGAN00001266100	Homo sapiens	NCBI Taxonomy	9606	EGI-1	bile duct	cholangiocarcinoma	male	  	906853	P-MTAB-68143	Extract_EGI-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_EGI-1	sequencing assay	  	  	ERR964231	ERR964231	EGAR00001340379	15908_3.cram	HUMAN_37_RNA_seq_EGI-1_15908_3.ua.bam	EGI-1	bile duct	cholangiocarcinoma
EM-2	EM_2-sc-2013149	ERS499886	EGAN00001209146	Homo sapiens	NCBI Taxonomy	9606	EM-2	hematopoietic system	chronic myelogenous leukemia	female	  	906855	P-MTAB-68143	11005739_ERX631285	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX631285	sequencing assay	ERX631285	EGAX00001238889	ERR676318	ERR676318	EGAR00001253989	13617_6.cram	HUMAN_37_RNA_seq_EM-2_13617_6.ua.bam	EM-2	hematopoietic system	chronic myelogenous leukemia
EMC-BAC-1	EMC_BAC_1-sc-2152840	ERS570567	EGAN00001236661	Homo sapiens	NCBI Taxonomy	9606	EMC-BAC-1	lung	lung adenocarcinoma	not available	  	1503369	P-MTAB-68143	12164704_ERX704911	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX704911	sequencing assay	ERX704911	EGAX00001270877	ERR760281	ERR760281	EGAR00001297020	14688_2.cram	HUMAN_37_RNA_seq_EMC-BAC-1_14688_2.ua.bam	EMC-BAC-1	lung	lung adenocarcinoma
EMC-BAC-2	EMC_BAC_2-sc-2152841	ERS570568	EGAN00001236662	Homo sapiens	NCBI Taxonomy	9606	EMC-BAC-2	lung	lung adenocarcinoma	not available	  	1503370	P-MTAB-68143	12164705_ERX704912	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX704912	sequencing assay	ERX704912	EGAX00001270878	ERR760282	ERR760282	EGAR00001297021	14688_3.cram	HUMAN_37_RNA_seq_EMC-BAC-2_14688_3.ua.bam	EMC-BAC-2	lung	lung adenocarcinoma
EoL-1-cell	  	  	EGAN00001266101	Homo sapiens	NCBI Taxonomy	9606	EoL-1-cell	hematopoietic system	eosinophilic leukemia	male	  	906856	P-MTAB-68143	Extract_EoL-1-cell	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_EoL-1-cell	sequencing assay	  	  	ERR964232	ERR964232	EGAR00001340380	15908_4.cram	HUMAN_37_RNA_seq_EoL-1-cell_15908_4.ua.bam	EoL-1-cell	hematopoietic system	eosinophilic leukemia
ES1	ES1-sc-2188500	ERS622641	EGAN00001252816	Homo sapiens	NCBI Taxonomy	9606	ES1	bone	Ewing sarcoma	female	  	949158	P-MTAB-68143	12974778_ERX991854	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX991854	sequencing assay	ERX991854	EGAX00001302713	ERR912730	ERR912730	EGAR00001331623	15722_5.cram	HUMAN_37_RNA_seq_ES1_15722_5.ua.bam	ES1	bone	Ewing sarcoma
ES3	ES3-sc-2188501	ERS622642	EGAN00001252817	Homo sapiens	NCBI Taxonomy	9606	ES3	bone	Ewing sarcoma	male	  	684055	P-MTAB-68143	12974781_ERX965865	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX965865	sequencing assay	ERX965865	EGAX00001296839	ERR886462	ERR886462	EGAR00001325553	15485_7.cram	HUMAN_37_RNA_seq_ES3_15485_7.ua.bam	ES3	bone	Ewing sarcoma
ES4	ES4-sc-2188502	ERS622643	EGAN00001252818	Homo sapiens	NCBI Taxonomy	9606	ES4	bone	Ewing sarcoma	male	  	949156	P-MTAB-68143	12974782_ERX965866	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX965866	sequencing assay	ERX965866	EGAX00001296840	ERR886463	ERR886463	EGAR00001325554	15485_8.cram	HUMAN_37_RNA_seq_ES4_15485_8.ua.bam	ES4	bone	Ewing sarcoma
ES5	ES5-sc-2188503	ERS622644	EGAN00001252819	Homo sapiens	NCBI Taxonomy	9606	ES5	bone	Ewing sarcoma	male	  	684057	P-MTAB-68143	12974880_ERX979558	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979558	sequencing assay	ERX979558	EGAX00001300780	ERR900169	ERR900169	EGAR00001329494	15553_1.cram	HUMAN_37_RNA_seq_ES5_15553_1.ua.bam	ES5	bone	Ewing sarcoma
ES6	ES6-sc-2188504	ERS622645	EGAN00001252820	Homo sapiens	NCBI Taxonomy	9606	ES6	bone	Ewing sarcoma	male	  	949157	P-MTAB-68143	12974881_ERX979559	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979559	sequencing assay	ERX979559	EGAX00001300781	ERR900170	ERR900170	EGAR00001329495	15553_2.cram	HUMAN_37_RNA_seq_ES6_15553_2.ua.bam	ES6	bone	Ewing sarcoma
ES7	ES7-sc-2188505	ERS622646	EGAN00001252821	Homo sapiens	NCBI Taxonomy	9606	ES7	bone	Ewing sarcoma	male	  	684059	P-MTAB-68143	12974882_ERX979560	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979560	sequencing assay	ERX979560	EGAX00001300782	ERR900171	ERR900171	EGAR00001329496	15553_3.cram	HUMAN_37_RNA_seq_ES7_15553_3.ua.bam	ES7	bone	Ewing sarcoma
ES8	ES8-sc-2188506	ERS622647	EGAN00001252822	Homo sapiens	NCBI Taxonomy	9606	ES8	bone	Ewing sarcoma	male	  	949155	P-MTAB-68143	12974883_ERX979561	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979561	sequencing assay	ERX979561	EGAX00001300783	ERR900172	ERR900172	EGAR00001329497	15553_4.cram	HUMAN_37_RNA_seq_ES8_15553_4.ua.bam	ES8	bone	Ewing sarcoma
ESO26	  	  	EGAN00001266102	Homo sapiens	NCBI Taxonomy	9606	ESO26	esophagus	esophageal carcinoma	male	  	1503366	P-MTAB-68143	Extract_ESO26	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ESO26	sequencing assay	  	  	ERR964233	ERR964233	EGAR00001340381	15908_5.cram	HUMAN_37_RNA_seq_ESO26_15908_5.ua.bam	ESO26	esophagus	esophageal carcinoma
ESO51	  	  	EGAN00001266103	Homo sapiens	NCBI Taxonomy	9606	ESO51	esophagus	esophageal carcinoma	male	  	1503367	P-MTAB-68143	Extract_ESO51	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ESO51	sequencing assay	  	  	ERR964234	ERR964234	EGAR00001340382	15908_6.cram	HUMAN_37_RNA_seq_ESO51_15908_6.ua.bam	ESO51	esophagus	esophageal carcinoma
ETK-1	  	  	EGAN00001266104	Homo sapiens	NCBI Taxonomy	9606	ETK-1	bile duct	cholangiocarcinoma	female	  	906861	P-MTAB-68143	Extract_ETK-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ETK-1	sequencing assay	  	  	ERR964235	ERR964235	EGAR00001340383	15908_7.cram	HUMAN_37_RNA_seq_ETK-1_15908_7.ua.bam	ETK-1	bile duct	cholangiocarcinoma
EVSA-T	EVSA_T-sc-2188507	ERS622648	EGAN00001252823	Homo sapiens	NCBI Taxonomy	9606	EVSA-T	breast	invasive ductal carcinoma	female	peritoneum	906862	P-MTAB-68143	12974884_ERX979562	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979562	sequencing assay	ERX979562	EGAX00001300784	ERR900173	ERR900173	EGAR00001329498	15553_5.cram	HUMAN_37_RNA_seq_EVSA-T_15553_5.ua.bam	EVSA-T	breast	invasive ductal carcinoma
EW-1	EW_1-sc-2188508	ERS622649	EGAN00001252824	Homo sapiens	NCBI Taxonomy	9606	EW-1	bone	Ewing sarcoma	male	  	949163	P-MTAB-68143	12974885_ERX979563	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979563	sequencing assay	ERX979563	EGAX00001300785	ERR900174	ERR900174	EGAR00001329499	15553_6.cram	HUMAN_37_RNA_seq_EW-1_15553_6.ua.bam	EW-1	bone	Ewing sarcoma
EW-11	EW_11-sc-2188509	ERS622650	EGAN00001252825	Homo sapiens	NCBI Taxonomy	9606	EW-11	bone	Ewing sarcoma	female	  	684062	P-MTAB-68143	12974886_ERX979564	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979564	sequencing assay	ERX979564	EGAX00001300786	ERR900175	ERR900175	EGAR00001329500	15553_7.cram	HUMAN_37_RNA_seq_EW-11_15553_7.ua.bam	EW-11	bone	Ewing sarcoma
